"site_id","lat","lon","elev","state","common_name","species_id","func_type","phenophase_category","phenophase","pheno_class_id","year","first_yes","prior_no"
31964,38.184769,-122.279083,2,"CA","Allen's hummingbird",1414,"Bird","Activity","Live individuals",62,2025,41,7
43157,39.491673,-119.730858,1333,"NV","American coot",1379,"Bird","Activity","Live individuals",62,2025,36,22
43353,39.497185,-119.730728,1338,"NV","American coot",1379,"Bird","Activity","Live individuals",62,2025,16,2
43355,39.494022,-119.728737,1334,"NV","American coot",1379,"Bird","Activity","Live individuals",62,2025,16,2
43356,39.496391,-119.728653,1335,"NV","American coot",1379,"Bird","Activity","Live individuals",62,2025,30,16
10145,42.602543,-83.250992,272,"MI","American crow",1225,"Bird","Activity","Live individuals",62,2025,4,1
17707,37.360123,-122.128151,97,"CA","American crow",1225,"Bird","Activity","Live individuals",62,2025,35,7
25041,38.426029,-78.923943,381,"VA","American crow",1225,"Bird","Activity","Live individuals",62,2025,12,6
47379,34.027267,-84.048752,327,"GA","American crow",1225,"Bird","Activity","Calls or song (birds)",67,2025,35,11
8418,32.363758,-94.873947,108,"TX","American goldfinch",240,"Bird","Activity","Fruit/seed consumption",70,2025,5,4
10145,42.602543,-83.250992,272,"MI","American goldfinch",240,"Bird","Activity","Individuals at a feeding station",135,2025,9,1
25041,38.426029,-78.923943,381,"VA","American goldfinch",240,"Bird","Activity","Live individuals",62,2025,19,1
43356,39.496391,-119.728653,1335,"NV","American kestrel",372,"Bird","Activity","Live individuals",62,2025,16,2
44384,38.083454,-122.156075,50,"CA","American kestrel",372,"Bird","Activity","Live individuals",62,2025,22,7
6481,42.456135,-72.344215,253,"MA","American robin",246,"Bird","Activity","Live individuals",62,2025,11,6
8418,32.363758,-94.873947,108,"TX","American robin",246,"Bird","Activity","Feeding (or foraging)",68,2025,5,4
10145,42.602543,-83.250992,272,"MI","American robin",246,"Bird","Activity","Live individuals",62,2025,4,1
25041,38.426029,-78.923943,381,"VA","American robin",246,"Bird","Activity","Live individuals",62,2025,25,6
25901,30.05377,-89.880486,0,"LA","American robin",246,"Bird","Activity","Live individuals",62,2025,36,7
44383,38.089134,-122.157379,61,"CA","American robin",246,"Bird","Activity","Live individuals",62,2025,29,7
47379,34.027267,-84.048752,327,"GA","American robin",246,"Bird","Activity","Live individuals",62,2025,24,2
48555,33.813538,-84.28347,305,"GA","American robin",246,"Bird","Activity","Singing individuals (birds)",84,2025,36,20
12725,37.360928,-122.130836,112,"CA","Anna's hummingbird",1088,"Bird","Activity","Individuals at a feeding station",135,2025,28,5
12725,37.360928,-122.130836,112,"CA","Anna's hummingbird",1088,"Bird","Reproduction","Courtship ",77,2025,30,2
19944,33.66478,-117.843063,3,"CA","Anna's hummingbird",1088,"Bird","Activity","Insect consumption",69,2025,31,18
19944,33.66478,-117.843063,3,"CA","Anna's hummingbird",1088,"Bird","Reproduction","Courtship ",77,2025,31,18
20956,33.632149,-117.55545,301,"CA","Anna's hummingbird",1088,"Bird","Activity","Calls or song (birds)",67,2025,39,28
22613,32.33926,-110.981728,765,"AZ","Anna's hummingbird",1088,"Bird","Activity","Live individuals",62,2025,15,8
22858,38.09404,-122.37149,0,"CA","Anna's hummingbird",1088,"Bird","Activity","Insect consumption",69,2025,13,7
27407,38.037094,-122.394722,-2,"CA","Anna's hummingbird",1088,"Bird","Activity","Territorial individuals (birds)",83,2025,13,7
38493,32.39724,-111.002159,801,"AZ","Anna's hummingbird",1088,"Bird","Activity","Live individuals",62,2025,18,7
40165,32.374233,-110.968384,800,"AZ","Anna's hummingbird",1088,"Bird","Activity","Live individuals",62,2025,11,6
42213,32.397331,-110.976746,767,"AZ","Anna's hummingbird",1088,"Bird","Activity","Live individuals",62,2025,37,9
43119,44.571472,-123.291801,80,"OR","Anna's hummingbird",1088,"Bird","Activity","Singing individuals (birds)",84,2025,10,9
44384,38.083454,-122.156075,50,"CA","Anna's hummingbird",1088,"Bird","Activity","Calls or song (birds)",67,2025,15,7
44384,38.083454,-122.156075,50,"CA","Anna's hummingbird",1088,"Bird","Reproduction","Courtship ",77,2025,29,7
43119,44.571472,-123.291801,80,"OR","California scrub-jay",1376,"Bird","Activity","Calls or song (birds)",67,2025,41,12
51967,33.562931,-117.15921,365,"CA","California scrub-jay",1376,"Bird","Activity","Calls or song (birds)",67,2025,18,15
10145,42.602543,-83.250992,272,"MI","Canada goose",1224,"Bird","Activity","Live individuals",62,2025,8,1
43353,39.497185,-119.730728,1338,"NV","Canada goose",1224,"Bird","Activity","Live individuals",62,2025,16,2
43355,39.494022,-119.728737,1334,"NV","Canada goose",1224,"Bird","Activity","Calls or song (birds)",67,2025,36,20
56102,37.576412,-77.539986,42,"VA","Canada goose",1224,"Bird","Activity","Territorial individuals (birds)",83,2025,18,5
8418,32.363758,-94.873947,108,"TX","Carolina chickadee",1233,"Bird","Activity","Singing individuals (birds)",84,2025,5,4
8418,32.363758,-94.873947,108,"TX","Carolina wren",1126,"Bird","Activity","Singing individuals (birds)",84,2025,8,3
10145,42.602543,-83.250992,272,"MI","Carolina wren",1126,"Bird","Activity","Individuals at a feeding station",135,2025,33,1
48555,33.813538,-84.28347,305,"GA","Carolina wren",1126,"Bird","Activity","Singing individuals (birds)",84,2025,36,20
10145,42.602543,-83.250992,272,"MI","Cooper's hawk",1218,"Bird","Activity","Individuals at a feeding station",135,2025,10,1
47379,34.027267,-84.048752,327,"GA","Cooper's hawk",1218,"Bird","Activity","Calls or song (birds)",67,2025,7,5
22613,32.33926,-110.981728,765,"AZ","Costa's hummingbird",1089,"Bird","Activity","Live individuals",62,2025,23,8
44604,32.409863,-110.983147,814,"AZ","Costa's hummingbird",1089,"Bird","Activity","Live individuals",62,2025,16,6
8418,32.363758,-94.873947,108,"TX","European starling",1123,"Bird","Activity","Live individuals",62,2025,23,4
10145,42.602543,-83.250992,272,"MI","European starling",1123,"Bird","Activity","Live individuals",62,2025,13,1
25041,38.426029,-78.923943,381,"VA","European starling",1123,"Bird","Activity","Calls or song (birds)",67,2025,18,6
22613,32.33926,-110.981728,765,"AZ","Gambel's quail",368,"Bird","Activity","Live individuals",62,2025,15,8
22613,32.33926,-110.981728,765,"AZ","Reakirt's blue",1134,"Insect","Activity","Adults",62,2025,31,8
17707,37.360123,-122.128151,97,"CA","acorn woodpecker",1229,"Bird","Activity","Live individuals",62,2025,23,2
51967,33.562931,-117.15921,365,"CA","acorn woodpecker",1229,"Bird","Activity","Territorial individuals (birds)",83,2025,18,15
53580,39.874573,-76.36657,172,"PA","bald eagle",371,"Bird","Activity","Territorial individuals (birds)",83,2025,41,30
53580,39.874573,-76.36657,172,"PA","bald eagle",371,"Bird","Reproduction","Mating (male on top)",82,2025,41,30
8418,32.363758,-94.873947,108,"TX","barred owl",1122,"Bird","Activity","Live individuals",62,2025,30,4
19944,33.66478,-117.843063,3,"CA","black phoebe",376,"Bird","Activity","Singing individuals (birds)",84,2025,31,18
27407,38.037094,-122.394722,-2,"CA","black phoebe",376,"Bird","Activity","Live individuals",62,2025,27,7
44384,38.083454,-122.156075,50,"CA","black phoebe",376,"Bird","Activity","Live individuals",62,2025,22,7
1419,42.011166,-88.503304,280,"IL","black-capped chickadee",245,"Bird","Activity","Live individuals",62,2025,24,8
10145,42.602543,-83.250992,272,"MI","black-capped chickadee",245,"Bird","Activity","Individuals at a feeding station",135,2025,3,1
43119,44.571472,-123.291801,80,"OR","black-capped chickadee",245,"Bird","Activity","Singing individuals (birds)",84,2025,10,9
31964,38.184769,-122.279083,2,"CA","black-crowned night-heron",1842,"Bird","Activity","Feeding (or foraging)",68,2025,20,7
8418,32.363758,-94.873947,108,"TX","blue jay",1096,"Bird","Activity","Fruit/seed consumption",70,2025,8,3
10145,42.602543,-83.250992,272,"MI","blue jay",1096,"Bird","Activity","Individuals at a feeding station",135,2025,4,1
25041,38.426029,-78.923943,381,"VA","blue jay",1096,"Bird","Activity","Live individuals",62,2025,6,2
47379,34.027267,-84.048752,327,"GA","blue jay",1096,"Bird","Activity","Calls or song (birds)",67,2025,15,7
48555,33.813538,-84.28347,305,"GA","blue jay",1096,"Bird","Activity","Calls or song (birds)",67,2025,36,20
8418,32.363758,-94.873947,108,"TX","brown creeper",1397,"Bird","Activity","Live individuals",62,2025,8,3
8418,32.363758,-94.873947,108,"TX","brown-headed cowbird",363,"Bird","Activity","Live individuals",62,2025,26,3
8418,32.363758,-94.873947,108,"TX","cedar waxwing",1195,"Bird","Activity","Live individuals",62,2025,15,3
48555,33.813538,-84.28347,305,"GA","cedar waxwing",1195,"Bird","Activity","Live individuals",62,2025,36,20
31964,38.184769,-122.279083,2,"CA","common moorhen",1786,"Bird","Activity","Live individuals",62,2025,20,7
31964,38.184769,-122.279083,2,"CA","common raven",1703,"Bird","Activity","Live individuals",62,2025,20,7
33136,48.728428,-122.453491,188,"WA","common raven",1703,"Bird","Activity","Live individuals",62,2025,32,10
44385,38.09111,-122.153351,42,"CA","common raven",1703,"Bird","Activity","Live individuals",62,2025,29,7
51967,33.562931,-117.15921,365,"CA","common raven",1703,"Bird","Activity","Calls or song (birds)",67,2025,18,15
53580,39.874573,-76.36657,172,"PA","common raven",1703,"Bird","Activity","Live individuals",62,2025,26,15
19944,33.66478,-117.843063,3,"CA","common yellowthroat",1197,"Bird","Activity","Singing individuals (birds)",84,2025,31,18
55182,39.991276,-86.009056,247,"IN","coyote",1396,"Mammal","Activity","Feeding",68,2025,23,6
12064,32.248463,-110.909584,746,"AZ","curve-billed thrasher",740,"Bird","Activity","Live individuals",62,2025,26,16
8418,32.363758,-94.873947,108,"TX","dark-eyed junco",362,"Bird","Activity","Fruit/seed consumption",70,2025,5,4
10145,42.602543,-83.250992,272,"MI","dark-eyed junco",362,"Bird","Activity","Singing individuals (birds)",84,2025,20,1
25041,38.426029,-78.923943,381,"VA","dark-eyed junco",362,"Bird","Activity","Fruit/seed consumption",70,2025,6,2
26897,40.128613,-75.340515,39,"PA","dark-eyed junco",362,"Bird","Activity","Feeding (or foraging)",68,2025,12,4
43119,44.571472,-123.291801,80,"OR","dark-eyed junco",362,"Bird","Activity","Individuals at a feeding station",135,2025,41,15
50991,43.089485,-89.291893,287,"WI","dark-eyed junco",362,"Bird","Activity","Fruit/seed consumption",70,2025,15,13
56047,39.571911,-86.187576,225,"IN","dark-eyed junco",362,"Bird","Activity","Individuals at a feeding station",135,2025,5,4
22613,32.33926,-110.981728,765,"AZ","desert cottontail",1235,"Mammal","Activity","Live individuals",62,2025,23,8
8418,32.363758,-94.873947,108,"TX","downy woodpecker",1113,"Bird","Activity","Fruit/seed consumption",70,2025,5,4
10145,42.602543,-83.250992,272,"MI","downy woodpecker",1113,"Bird","Activity","Live individuals",62,2025,2,1
