"site_id","lat","lon","state","common_name","species_id","func_type","id","phenophase_id","phenophase","year","first_yes","prior_no","elev"
2,43.08535,-70.69133,"ME","sugar maple",61,"Deciduous broadleaf",2,498,"Colored leaves",2025,252,14,12
2,43.08535,-70.69133,"ME","sugar maple",61,"Deciduous broadleaf",2,471,"Falling leaves",2025,252,14,12
2,43.08535,-70.69133,"ME","sugar maple",61,"Deciduous broadleaf",7,498,"Colored leaves",2025,238,13,12
2,43.08535,-70.69133,"ME","sugar maple",61,"Deciduous broadleaf",7,471,"Falling leaves",2025,252,14,12
2,43.08535,-70.69133,"ME","forsythia",73,"Deciduous broadleaf",519,498,"Colored leaves",2025,252,14,12
859,40.059612,-83.009933,"OH","flowering dogwood",12,"Deciduous broadleaf",769,498,"Colored leaves",2025,233,11,260
859,40.059612,-83.009933,"OH","flowering dogwood",12,"Deciduous broadleaf",769,471,"Falling leaves",2025,243,10,260
1109,44.750778,-108.767281,"WY","green ash",75,"Deciduous broadleaf",1385,498,"Colored leaves",2025,265,14,1343
1109,44.750778,-108.767281,"WY","chokecherry",29,"Deciduous broadleaf",1386,498,"Colored leaves",2025,265,14,1343
1274,47.754948,-122.357971,"WA","common snowberry",92,"Deciduous broadleaf",1849,498,"Colored leaves",2025,242,7,98
2,43.08535,-70.69133,"ME","forsythia",73,"Deciduous broadleaf",2100,498,"Colored leaves",2025,252,14,12
2,43.08535,-70.69133,"ME","forsythia",73,"Deciduous broadleaf",2101,498,"Colored leaves",2025,252,14,12
2,43.08535,-70.69133,"ME","sugar maple",61,"Deciduous broadleaf",2102,498,"Colored leaves",2025,225,24,12
2,43.08535,-70.69133,"ME","sugar maple",61,"Deciduous broadleaf",2102,471,"Falling leaves",2025,225,24,12
2,43.08535,-70.69133,"ME","northern red oak",102,"Deciduous broadleaf",2104,498,"Colored leaves",2025,225,24,12
2,43.08535,-70.69133,"ME","northern red oak",102,"Deciduous broadleaf",2104,471,"Falling leaves",2025,225,24,12
2,43.08535,-70.69133,"ME","black cherry",28,"Deciduous broadleaf",2106,498,"Colored leaves",2025,225,24,12
2,43.08535,-70.69133,"ME","paper birch",99,"Deciduous broadleaf",2111,498,"Colored leaves",2025,201,8,12
2,43.08535,-70.69133,"ME","paper birch",99,"Deciduous broadleaf",2111,471,"Falling leaves",2025,201,8,12
2,43.08535,-70.69133,"ME","American witchhazel",76,"Deciduous broadleaf",2112,498,"Colored leaves",2025,225,24,12
1484,47.776241,-122.377419,"WA","redosier dogwood",70,"Deciduous broadleaf",2559,498,"Colored leaves",2025,206,13,99
