"site_id","lat","lon","elev","state","common_name","species_id","func_type","id","phenophase","pheno_class_id","year","first_yes","prior_no"
2,43.08535,-70.69133,12,"ME","red maple",3,"Deciduous broadleaf",9,"Flowers or flower buds",6,2011,104,4
2,43.08535,-70.69133,12,"ME","red maple",3,"Deciduous broadleaf",9,"Flowers or flower buds",6,2013,99,14
2,43.08535,-70.69133,12,"ME","red maple",3,"Deciduous broadleaf",9,"Flowers or flower buds",6,2015,105,2
2,43.08535,-70.69133,12,"ME","red maple",3,"Deciduous broadleaf",9,"Flowers or flower buds",6,2016,100,22
2,43.08535,-70.69133,12,"ME","red maple",3,"Deciduous broadleaf",9,"Open flowers",7,2009,104,1
2,43.08535,-70.69133,12,"ME","red maple",3,"Deciduous broadleaf",9,"Open flowers",7,2010,84,5
2,43.08535,-70.69133,12,"ME","red maple",3,"Deciduous broadleaf",9,"Open flowers",7,2011,104,4
2,43.08535,-70.69133,12,"ME","red maple",3,"Deciduous broadleaf",9,"Open flowers",7,2012,82,3
2,43.08535,-70.69133,12,"ME","red maple",3,"Deciduous broadleaf",9,"Open flowers",7,2013,99,2
2,43.08535,-70.69133,12,"ME","red maple",3,"Deciduous broadleaf",9,"Open flowers",7,2014,106,3
2,43.08535,-70.69133,12,"ME","red maple",3,"Deciduous broadleaf",9,"Open flowers",7,2015,121,15
2,43.08535,-70.69133,12,"ME","red maple",3,"Deciduous broadleaf",9,"Open flowers",7,2016,100,13
22,40.060001,-87.57,209,"IL","red maple",3,"Deciduous broadleaf",35,"Open flowers",7,2009,80,4
27,32.224602,-110.906807,769,"AZ","creosote bush",117,"Evergreen broadleaf",49,"Open flowers (1 location)",7,2009,74,7
712,38.531399,-77.2342,20,"MD","sweetgum",81,"Deciduous broadleaf",428,"Leaves",3,2009,102,1
712,38.531399,-77.2342,20,"MD","sweetgum",81,"Deciduous broadleaf",428,"Open flowers",7,2009,111,1
719,38.528801,-77.231903,34,"MD","red maple",3,"Deciduous broadleaf",437,"Open flowers",7,2009,66,1
719,38.528801,-77.231903,34,"MD","red maple",3,"Deciduous broadleaf",443,"Open flowers",7,2009,66,1
719,38.528801,-77.231903,34,"MD","red maple",3,"Deciduous broadleaf",444,"Open flowers",7,2009,66,1
720,38.530819,-77.234512,25,"MD","black walnut",80,"Deciduous broadleaf",449,"Breaking leaf buds",1,2009,102,2
720,38.530819,-77.234512,25,"MD","black walnut",80,"Deciduous broadleaf",450,"Breaking leaf buds",1,2009,102,2
712,38.531399,-77.2342,20,"MD","sweetgum",81,"Deciduous broadleaf",455,"Leaves",3,2009,97,1
712,38.531399,-77.2342,20,"MD","sweetgum",81,"Deciduous broadleaf",455,"Open flowers",7,2009,111,1
726,48.819775,-122.609993,3,"WA","common snowberry",92,"Deciduous broadleaf",499,"Breaking leaf buds",1,2012,66,4
770,39.28931,-76.712364,130,"MD","red maple",3,"Deciduous broadleaf",632,"Open flowers",7,2009,67,2
459,36.524502,-92.751999,234,"MO","eastern redbud",7,"Deciduous broadleaf",635,"Flowers or flower buds",6,2014,76,4
459,36.524502,-92.751999,234,"MO","eastern redbud",7,"Deciduous broadleaf",635,"Flowers or flower buds",6,2015,84,8
459,36.524502,-92.751999,234,"MO","eastern redbud",7,"Deciduous broadleaf",635,"Flowers or flower buds",6,2016,66,6
459,36.524502,-92.751999,234,"MO","eastern redbud",7,"Deciduous broadleaf",635,"Flowers or flower buds",6,2017,61,7
459,36.524502,-92.751999,234,"MO","eastern redbud",7,"Deciduous broadleaf",635,"Flowers or flower buds",6,2018,81,15
459,36.524502,-92.751999,234,"MO","flowering dogwood",12,"Deciduous broadleaf",637,"Leaves",3,2010,96,2
459,36.524502,-92.751999,234,"MO","flowering dogwood",12,"Deciduous broadleaf",637,"Leaves",3,2011,105,23
459,36.524502,-92.751999,234,"MO","flowering dogwood",12,"Deciduous broadleaf",637,"Leaves",3,2014,112,2
459,36.524502,-92.751999,234,"MO","flowering dogwood",12,"Deciduous broadleaf",637,"Leaves",3,2016,92,8
459,36.524502,-92.751999,234,"MO","flowering dogwood",12,"Deciduous broadleaf",637,"Flowers or flower buds",6,2014,76,4
459,36.524502,-92.751999,234,"MO","flowering dogwood",12,"Deciduous broadleaf",637,"Flowers or flower buds",6,2016,84,13
459,36.524502,-92.751999,234,"MO","flowering dogwood",12,"Deciduous broadleaf",637,"Flowers or flower buds",6,2018,109,12
459,36.524502,-92.751999,234,"MO","flowering dogwood",12,"Deciduous broadleaf",637,"Flowers or flower buds",6,2023,110,3
459,36.524502,-92.751999,234,"MO","red maple",3,"Deciduous broadleaf",638,"Flowers or flower buds",6,2015,76,5
459,36.524502,-92.751999,234,"MO","red maple",3,"Deciduous broadleaf",638,"Flowers or flower buds",6,2016,60,4
459,36.524502,-92.751999,234,"MO","red maple",3,"Deciduous broadleaf",638,"Flowers or flower buds",6,2017,54,10
459,36.524502,-92.751999,234,"MO","red maple",3,"Deciduous broadleaf",638,"Full flowering (50%)",7,2010,83,13
459,36.524502,-92.751999,234,"MO","red maple",3,"Deciduous broadleaf",638,"Open flowers",7,2014,76,4
459,36.524502,-92.751999,234,"MO","red maple",3,"Deciduous broadleaf",638,"Open flowers",7,2015,76,5
459,36.524502,-92.751999,234,"MO","red maple",3,"Deciduous broadleaf",638,"Open flowers",7,2016,60,4
459,36.524502,-92.751999,234,"MO","red maple",3,"Deciduous broadleaf",638,"Open flowers",7,2017,54,10
459,36.524502,-92.751999,234,"MO","red maple",3,"Deciduous broadleaf",638,"Open flowers",7,2018,81,15
790,43.269737,-71.330513,215,"NH","red maple",3,"Deciduous broadleaf",660,"Full flowering (50%)",7,2009,109,4
797,38.454346,-90.096405,189,"IL","red maple",3,"Deciduous broadleaf",680,"Full flowering (50%)",7,2009,69,2
859,40.059612,-83.009933,255,"OH","flowering dogwood",12,"Deciduous broadleaf",769,"Leaves",3,2021,109,9
859,40.059612,-83.009933,255,"OH","flowering dogwood",12,"Deciduous broadleaf",769,"Leaves",3,2022,121,10
859,40.059612,-83.009933,255,"OH","flowering dogwood",12,"Deciduous broadleaf",769,"Leaves",3,2023,106,7
859,40.059612,-83.009933,255,"OH","flowering dogwood",12,"Deciduous broadleaf",769,"Leaves",3,2024,106,8
859,40.059612,-83.009933,255,"OH","flowering dogwood",12,"Deciduous broadleaf",769,"Flowers or flower buds",6,2023,65,9
859,40.059612,-83.009933,255,"OH","flowering dogwood",12,"Deciduous broadleaf",769,"Flowers or flower buds",6,2024,286,26
374,38.059898,-87.641197,161,"IN","red maple",3,"Deciduous broadleaf",793,"Open flowers",7,2010,78,2
918,34.913982,-80.93129,198,"SC","flowering dogwood",12,"Deciduous broadleaf",923,"Leaves",3,2009,75,3
966,38.907433,-94.437477,293,"MO","black walnut",80,"Deciduous broadleaf",961,"Breaking leaf buds",1,2009,80,14
984,34.914185,-80.931244,197,"SC","sweetgum",81,"Deciduous broadleaf",1013,"Leaves",3,2009,88,6
973,42.285683,-84.128387,307,"MI","black cherry",28,"Deciduous broadleaf",1053,"Flowers or flower buds",6,2012,91,7
973,42.285683,-84.128387,307,"MI","bur oak",101,"Deciduous broadleaf",1054,"Leaves",3,2009,125,6
973,42.285683,-84.128387,307,"MI","bur oak",101,"Deciduous broadleaf",1054,"Leaves",3,2012,84,10
973,42.285683,-84.128387,307,"MI","red maple",3,"Deciduous broadleaf",1058,"Flowers or flower buds",6,2012,84,2
973,42.285683,-84.128387,307,"MI","red maple",3,"Deciduous broadleaf",1058,"Open flowers",7,2012,82,8
906,38.804558,-89.944405,165,"IL","eastern redbud",7,"Deciduous broadleaf",1094,"Flowers or flower buds",6,2012,76,13
990,38.907368,-90.047646,158,"IL","black elderberry",90,"Deciduous broadleaf",1166,"Breaking leaf buds",1,2009,88,14
990,38.907368,-90.047646,158,"IL","black elderberry",90,"Deciduous broadleaf",1167,"Breaking leaf buds",1,2009,93,19
990,38.907368,-90.047646,158,"IL","sweetgum",81,"Deciduous broadleaf",1187,"Leaves",3,2009,97,14
507,42.335072,-79.608025,185,"NY","flowering dogwood",12,"Deciduous broadleaf",1200,"Leaves",3,2009,121,5
1044,41.348431,-81.841576,250,"OH","red maple",3,"Deciduous broadleaf",1207,"Open flowers",7,2009,87,1
1049,38.607044,-76.66803,18,"MD","black walnut",80,"Deciduous broadleaf",1215,"Breaking leaf buds",1,2009,103,26
1049,38.607044,-76.66803,18,"MD","flowering dogwood",12,"Deciduous broadleaf",1216,"Leaves",3,2009,105,14
1053,39.352585,-76.6138,105,"MD","flowering dogwood",12,"Deciduous broadleaf",1233,"Leaves",3,2009,86,12
1068,38.776115,-75.152031,4,"DE","flowering dogwood",12,"Deciduous broadleaf",1254,"Leaves",3,2009,121,15
1068,38.776115,-75.152031,4,"DE","flowering dogwood",12,"Deciduous broadleaf",1254,"Leaves",3,2010,97,17
459,36.524502,-92.751999,234,"MO","eastern redbud",7,"Deciduous broadleaf",1272,"Flowers or flower buds",6,2014,76,4
459,36.524502,-92.751999,234,"MO","eastern redbud",7,"Deciduous broadleaf",1272,"Flowers or flower buds",6,2015,84,8
459,36.524502,-92.751999,234,"MO","eastern redbud",7,"Deciduous broadleaf",1272,"Flowers or flower buds",6,2016,71,5
